id,expediente,producto,cantidadcum,descripcioncomercial,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad
1,20099354,ATROMIZIN 500MG TABLETAS RECUBIERTAS,3,CAJA POR 3 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
2,19908252,AZITROMICINA 500 MG,10,CAJA DE CARTÃ“N X 10 TABLETAS CON 1 BLISTER PVC INCOLORO MÃS PAPEL DE ALUMINIO POR 10 TABLETAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 524.0 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
3,20072659,ZITROSHER 500 MG TABLETAS,3,CAJA DE CARTÃ“N CON 3 TABLETAS EN BLISTER DE PVC / ALUMINIO.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA,mg,500
4,19947188,AZITROMICINA 500 MG,2,CAJA POR 2 CAPSULAS DURAS EN BLISTER ALUMINIO/PVC POR 2 CAPSULAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 95% 551.6850 MG EQUIVALENTE A AZITROMICINA,mg,500
5,19900181,ZARETÂ® 500 MG INYECTABLE (LIOFILIZADO),5,CAJA PLEGADIZA POR 5 FRASCOS VIAL DE VIDRIO TRANSPARENTE TIPO I. TAPA DE CAUCHO GRIS EN BROMOBUTILO. AGRAFE DE ALUMINIO Y TAPA FLIP OFF BLANCA EN POLIPROPILENO + INSERTO.,U,J01FA10,AZITROMICINA,INFUSIÃ“N INTRAVENOSA,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
6,20087103,IMPOFIN-ZÂ®,3,CAJA POR 3 TABLETAS EN BLISTER PVC TRANSPARENTE/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA ANHIDRA COMO AZITROMICINA DIHIDRATO,mg,500
7,20073631,AZIBIOTRIM Â® 500 MG,3,CAJA X 3 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
8,19970782,AZITROMICINA 200 MG PPS,15,FRASCO PEAD COLOR NATURAL X 15 ML,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,g,4
9,20092122,AZITIV,1,CAJA POR UN VIAL DE VIDRIO TIPO II CON TAPON DE CLOROBUTILO Y SELLO DE ALUMINIO/PLASTICO TIPO FLIP OFF. QUE CONTIENE POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE.,U,J01FA10,AZITROMICINA,INTRAVENOSA,A,AZITROMICINA DIHIDRATADA 524.03 MG EQUIVALENTE A AZITROMICINA,mg,500
10,20073631,AZIBIOTRIM Â® 500 MG,2,CAJA X 2 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
11,20077698,ORAZIT SUSPENSIÃ“N,1,PRESENTACION DE MARCA ORAZIT: CAJA POR UN FRASCO PEAD NATURAL+ CUCHARA DOSIFICADORA X 15 ML.,U,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO 59.4 G EQUIVALENTE A AZITROMICINA BASE,g,4
12,20073631,AZIBIOTRIM Â® 500 MG,60,INSTITUCIONAL: CAJA X 60 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
13,20028788,AZITROMICINA 500 MG,2,CAJA POR 2. TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER DE ALUMINIO /PVDC POR 2 TABLETAS RECUBIERTA,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 526.3200 MG EQUIVALENTE A AZIROMICINA BASE,mg,500
14,20073631,AZIBIOTRIM Â® 500 MG,10,CAJA X 10 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
15,20019769,AZYDROP 15 MG/G,6,CAJA EN SACHET POR 6 ENVASES UNIDOSIS. C/U POR 250 MG DE SOLUCION,U,J01FA10,AZITROMICINA,OFTÃLMICA,A,AZITROMICINA DIHIDRATO 3.75 MG EQUIVALENTE A AZITROMICINA ANHIDRA (CADA GRAMO DE SOLUCIÃ“N CONTIENE 15 MG DE AZITROMICINA DIHIDRATO EQUIVALENTES A 14.3 MG DE AZITROMICINA).,mg,3575
16,19900181,ZARETÂ® 500 MG INYECTABLE (LIOFILIZADO),1,CAJA PLEGADIZA POR 1 FRASCO VIAL DE VIDRIO TRANSPARENTE TIPO I. TAPA DE CAUCHO GRIS EN BROMOBUTILO. AGRAFE DE ALUMINIO Y TAPA FLIP OFF BLANCA EN POLIPROPILENO + INSERTO.,U,J01FA10,AZITROMICINA,INFUSIÃ“N INTRAVENOSA,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
17,19970621,AZITROMICINA 500 MG TABLETAS,3,CAJA BLÃSTER PVC/ALUMINIO POR TRES TABLETAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
18,20131949,AKRIBACT 200 MG/5 ML,1,1A1013511001100 CAJA PLEGADIZA CON FRASCO PEAD NATURAL POR 15 ML. CON TAPA DE SEGURIDAD P28 Y CUCHARA DOSIFICADORA,U,S01AA26,AZITROMICINA,ORAL,D,AZITROMICINA BASE EQUIVALENTE A,g,4
19,20073631,AZIBIOTRIM Â® 500 MG,60,INSTITUCIONAL: CAJA X 60 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
