51001,KETOTIFENO 1 MG TABLETAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2019M-0001037-R2,02/08/2002,04/05/2024,Vigente,19926736,1,30,CAJA POR 30 TABLETAS EN BLISTER ALUMINIO/PVC,Activo,11/10/2006,N/A,No,U,R06AX17,KETOTIFENO,ORAL,A,KETOTIFENO FUMARATO 1.375MG EQUIVALENTE A KETOTIFENO BASE,mg,1,TABLETA,TABLETA,LABORATORIOS BUSSIÉ S.A.,FABRICANTE,FABRICAR Y VENDER
51002,SETRAX ® 50 MG TABLETAS,SCANDINAVIA PHARMA LTDA.,INVIMA 2010M-0010702,04/23/2010,05/06/2020,Vigente,20012641,1,10,CAJA POR 10 TABLETAS CUBIERTAS EN BLISTER ALUMINIO-PVC/PVDC,Activo,11/30/2009,N/A,No,U,N06AB06,SERTRALINA,ORAL,A,SERTRALINA CLORHIDRATO 56.0 MG (EQUIVALENTE A SERTRALINA BASE),mg,50,TABLETA CUBIERTA,TABLETA CUBIERTA CON PELICULA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
51003,ALENCAL VALS 2.5/160MG TABLETAS RECUBIERTAS,CLOSTER PHARMA S.A.S.,INVIMA 2015M-0015962,06/24/2015,08/05/2020,Vigente,20075496,9,10,MUESTRAS MEDICAS: CAJA X 10 TABLETAS EN BLISTER DE ALUMINIO- PVC/PVDC BLANCO X 10 TABLETAS.,Activo,06/11/2015,N/A,Si,U,C09DB01,VALSARTÁN Y AMLODIPINO,ORAL,A,LEVO-AMLODIPINO NICOTINATO EQUIVALENTE LEVO-AMLODIPINO,mg,2.5,TABLETAS RECUBIERTAS,TABLETA RECUBIERTA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
51004,HIDRAPLUS® 30 MEQ,TECNOQUIMICAS S.A.,INVIMA 2019M-0006812-R1,02/27/2007,11/19/2024,Vigente,19968694,31,1,FRASCO EN POLIPROPILENO POR 400 ML SABOR UVA MUESTRA MEDICA,Activo,02/14/2018,N/A,No,U,A07CA99,ELECTROLITOS CON CARBOHIDRATOS REHIDRATACION ORAL,ORAL,A,CITRATO DE SODIO,mg,275,100 ML.,SOLUCION ORAL,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
51005,CETIRIZINA 10 MG TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2019M-0001258-R2,04/08/2002,03/06/2024,Vigente,19927827,5,20,CAJA DE CARTÓN POR 20 TABLETAS EN BLISTER LAMINADO PVC/PE/PVDC INCOLORO - ALUMINIO POR 10 TABLETAS,Activo,08/01/2016,N/A,No,U,R06AE07,CETIRIZINA,ORAL,A,CETIRIZINA DICLORHIDRATO,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
51006,LEUCOTREN 5 MG TABLETAS MASTICABLES,SCANDINAVIA PHARMA LTDA.,INVIMA 2015M-0003965-R1,11/29/2004,06/24/2020,Vigente,19945385,13,2,MUESTRA MÉDICA: CAJA PLEGADIZA POR 2 TABLETAS MASTICABLES EN BLISTER ALUMINIO/ALUMINO,Activo,10/31/2019,N/A,Si,U,R03DC03,MONTELUKAST,ORAL,A,MONTELUKAST SÓDICO 5.2 MG (EQUIVALENTE A MONTELUKAST),mg,5,TABLETA MASTICABLE,TABLETA MASTICABLE,LABORATORIOS ROWE SRL,FABRICANTE,FABRICAR Y VENDER
51007,NORVAS® TABLETAS 5 MG,PFIZER S.A.S.,INVIMA 2016M-003001- R2,09/25/1995,09/05/2021,Vigente,52806,24,14,MUESTRA MÉDICA: CAJA POR 14 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO,Activo,06/20/2013,N/A,Si,U,C08CA01,AMLODIPINO,ORAL,A,BESILATO DE AMLODIPINO 6.944 MG EQUIVALENETE A AMLOPINO BASE,mg,5,TABLETA,TABLETA,LABORATORIOS PFIZER S.A.,FABRICANTE,IMPORTAR Y VENDER
51008,EPTAVIS ADULTOS 3G.,CENTRO SPERIMENTALE DEL LATTE SPA- ZELO BUON PERSICO,INVIMA 2015M-0016363,10/08/2015,10/26/2020,Vigente,20096050,1,6,PRESENTACIÓN COMERCIAL: CAJA PLEGADIZA CON 6 SOBRES DE PET/AL/PE POR 3 G CADA UNO.,Activo,09/23/2015,N/A,No,U,G01AX14,LACTOBACILOS FERMENTO,ORAL,A,LACTOBACILLUS PARACASEI MINIMO,million organisms,220,SOBRE POR 3G DE GRANULADO,GRANULOS,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
51009,FENOX 40 MG (FEBUXOSTAT) TABLETAS,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2015M-0016044,07/10/2015,08/10/2020,Vigente,20087522,3,20,ESTUCHE DE CARTON X 20 TABLETAS RECUBIERTAS EN BLISTER DE ALU/ALU MAS PAPEL ALUMINIO,Activo,05/26/2015,N/A,No,U,M04AA03,FEBUXOSTAT,ORAL,A,FEBUXOSTAT,mg,40,CADA TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
51010,DECADRON 8 MG/2 ML INYECTABLE,TECNOQUIMICAS S.A.,INVIMA 2015 M-002916-R4,11/17/2000,01/27/2021,Vigente,36070,10,1,CAJA POR 1 AMPOLLA DE VIDRIO INCOLORO TRANSPARENTE TIPO I. POR 2 ML,Activo,07/01/2010,N/A,No,U,H02AB02,DEXAMETASONA,INTRAVENOSA,A,DEXAMETASONA SODICA FOSFATO. EQUIVALENTE A DEXAMETASONA FOSFATO,mg,8,AMPOLLA POR 2 ML,SOLUCION INYECTABLE,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
