16649,CREMA NO. 4 MEDICADA,TECNOFAR TQ S.A.S,INVIMA 2010 M-14151 R1,01/17/2000,05/18/2020,Vigente,19906379,1,12,TUBO DE ALUMINIO POR 12 G EN CAJA.,Activo,11/10/2006,N/A,No,g,D01AA01,NISTATINA,TOPICA (EXTERNA),D,NISTATINA  UI,MILLONES,10000000,100 G 10 MILLONES U.I.,CREMA TOPICA,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
16650,Z - FULL DEFENSE TABLETA CUBIERTA,TECNOQUIMICAS S.A.,INVIMA 2010M-0010783,05/07/2010,05/26/2020,Vigente,19996124,3,30,CAJA CON UN FRASCO PEAD POR 30 TABLETAS,Activo,11/06/2008,N/A,No,U,A11AA02,MULTIVITAMINAS Y CALCIO,ORAL,A,BETACAROTENO,mg,6,TABLETA CUBIERTA,TABLETA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
16651,ZYVOXID® 2 MG/ML SOLUCION INYECTABLE,PFIZER S.A.S.,INVIMA 2016M014726-R2,09/26/2000,05/04/2021,Vigente,19907394,4,1,BOLSA FREEFLEX® POR 100ML (200MG),Activo,11/08/2011,N/A,No,U,J01XX08,LINEZOLID,INTRAVENOSA,A,LINEZOLID,mg,2,ML.,SOLUCION INYECTABLE,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
16652,AMLOSYN ® TABLETA 10 MG,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-013854-R3,01/01/1999,08/27/2023,Vigente,44863,49,100,CAJA POR 100 TABLETAS EN BLISTER PVC/ ALUMINIO,Activo,07/13/2018,N/A,No,U,C08CA01,AMLODIPINO,ORAL,A,AMLODIPINO BESILATO 13.870 MG EQUIVALENTE A AMLODIPINO BASE,mg,10,TABLETA,TABLETA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
16653,DURAFEX® E FORTE CAPSULA,TECNOQUIMICAS S.A.,INVIMA 2019M-0018763,02/08/2019,02/28/2024,Vigente,20104221,2,6,CAJA PLEGADIZA POR 6 CÁPSULAS BLANDAS EN BLÍSTER ALUMINIO-PVC/ACLAR TRANSPARENTE POR 6 CÁPSULAS CADA BLISTER,Activo,02/19/2018,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65,CAPSULA BLANDA,CAPSULA BLANDA,TECNOQUIMICAS S.A,FABRICANTE,FABRICAR Y VENDER
16654,HIDRALITOS,FARMADISA,INVIMA 2019M-0009393-R1,03/17/2009,05/20/2024,Vigente,19978751,4,500,FRASCO PEAD TRANSPARENTE CON TAPA PP PULL-PUSH Y LINER ADHESIVO. POR 500 ML DE SUERO SABOR MANZANA.,Activo,05/11/2011,N/A,No,ml,B05XA30,ELECTROLITOS COMBINACIONES,ORAL,B,ÁCIDO CÍTRICO,mg,369,POR CADA 100ML DE SOLUCIÓN ORAL.,SOLUCION ORAL,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
16655,VALSARTAN 160 MG TABLETA,GENFAR S.A.,INVIMA 2018M-0007509-R1,11/15/2007,02/22/2023,Vigente,19978105,1,14,CAJA POR 14 CON 2 BLÍSTER EN PVC / PVDC BLANCO - ALUMINIO POR 7 TABLETAS RECUBIERTAS C/U,Activo,06/29/2007,N/A,No,U,C09CA03,VALSARTAN,ORAL,A,VALSARTAN,mg,160,TABLETA,TABLETA RECUBIERTA,FAREVA VILLA RICA S.A.S.,FABRICANTE,FABRICAR Y VENDER
16656,INYECCION DE TRAVASOL 10 % SIN ELECTROLITOS,LABORATORIOS BAXTER S.A.,INVIMA 2016M-008027-R3,07/21/1995,05/20/2021,Vigente,24958,1,250,CAJA DE CARTÓN CON BOLSA PLÁSTICA DE PVC (PLÁSTICO GRADO MÉDICO) DE DOS SALIDAS. CON BOLSA EXTERNA DE ALUMINIO POR 250 ML.,Inactivo,11/10/2006,04/06/2016,No,U,B05BA01,AMINOACIDOS,INTRAVENOSA,B,ISOLEUCINA,mg,600,100ML,SOLUCION INYECTABLE,LABORATORIOS BAXTER S.A.,FABRICANTE,FABRICAR Y VENDER
16657,IRBEVITAE® 150 MG COMPRIMIDOS RECUBIERTOS.,GALENICUM HEALTH COLOMBIA S.A.S,INVIMA 2017M-0017947,,11/03/2021,Vigente,20097936,8,56,MUESTRA MEDICA: CAJA POR 56 COMPRIMIDOS RECUBIERTOS EN BLISTER DE ALUMINIO PVC+PVDC/AL+PVDC. INCLUYE FOLLETO DE INSTRUCCIONES PARA EL PACIENTE,Inactivo,04/25/2016,07/17/2018,Si,U,C09CA04,IRBESARTAN,ORAL,A,IRBESARTAN,mg,150,TABLETA RECUBIERTA,TABLETA RECUBIERTA,ATLANTIC PHARMA- PRODUÇ?ES FARMAC?UTICAS S.A,FABRICANTE,IMPORTAR Y VENDER
16658,LEUCOTREN ®10 MG TABLETAS RECUBIERTAS,SCANDINAVIA PHARMA LTDA.,INVIMA 2015M-0003838-R1,10/06/2004,11/13/2020,Vigente,19945477,2,30,BLISTER ALUMINIO / PVDC EN CAJA POR 30 TABLETAS,Activo,11/10/2006,N/A,No,U,R03DC03,MONTELUKAST,ORAL,A,MONTELUKAST SÓDICO EQUIVALENTE A MONTELUKAST,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
16659,KELAC® 10MG,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2018M-0018335,08/13/2018,08/30/2023,Vigente,20120595,2,2,CAJA PLEGADIZA POR 2 TABLETAS RECUBIERTAS EN BLÍSTER ALUMINIO/ALUMINIO. EN BLÍSTER POR 2 TABLETAS RECUBIERTAS CADA UNO.,Activo,12/20/2018,N/A,No,U,N06AX26,VORTIOXETINA,ORAL,A,VORTIOXETINA HIDROBROMURO 12.711 MG EQUIVALENTES A VORTIOXETINA,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
16660,DERMA Q CREMA TOPICA,GALENO QUIMICA S.A.,INVIMA 2016M-0011599-R1,11/19/2010,11/15/2021,Vigente,20018316,2,20,CAJA POR UN TUBO COLAPSIBLE BLANCO DE MDPE/AL FOIL POR 20 G.,Activo,05/26/2010,N/A,No,g,D06AX09,MUPIROCINA,TOPICA (EXTERNA),D,MOMETASONA FUROATO,g,0.1,100 G DE CREMA,CREMA TOPICA,PHARMETIQUE S.A,FABRICANTE,FABRICAR Y VENDER
16661,KIOVIG ®,BAXALTA COLOMBIA S.A.S,INVIMA 2019M-0007337-R1,09/21/2007,10/30/2024,Vigente,19975421,1,10,FRASCO VIAL DE VIDRIO TIPO I CON SOLUCIÓN DE KIOVIG: 1G EN 10 ML.,Inactivo,03/27/2007,10/03/2019,No,ml,J06BA02,INMUNOGLOBULINAS HUMANA NORMAL,INTRAVENOSA,C,PROTEINA HUMANA CON INMUNOGLOBULINA HUMANA NORMAL (AL MENOS 98% ES INMUNOGLOBULINA G). (IGG1 MAYOR O IGUAL A 56.9%. IGG2 MAYOR O IGUAL A 26.6%. IGG3 MAYOR O IGUAL A 3.4%. IGG4 MAYOR O IGUAL A 1.7%),mg,100,MILILITRO,SOLUCION INYECTABLE,BAXALTA COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER
16662,CONGESTEX® 4X4 CÁPSULAS,NOVAMED S.A.,INVIMA 2019M-0018954,04/17/2019,05/16/2024,Vigente,20143308,3,72,2C1015031000102 CAFEÍNA 30 MG / DESLORATADINA 2.5 MG / FENILEFRINA 20 MG / PARACETAMOL 500 MG CÁPSULAS DE LIBERACIÓN NO MODIFICADA ORAL (CONGESTEX) CÁPSULA 1 UNIDAD. CAJA POR 72 CÁPSULAS EN BLÍSTER (PVC/TE/PVDC TRANSPARENTE INCOLORO / FOIL ALUMINIO) 18 BLÍSTER POR 4 CÁPSULAS.,Activo,04/15/2019,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN (MICROGRANULO # 2),mg,250,CÁPSULA DURA,CAPSULA DURA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
16663,BONCIDA ® JABÓN QUIRURGICO.,LABORATORIOS EUFAR S.A.,INVIMA 2016M-0011325-R1,09/14/2010,07/21/2021,Vigente,20014135,6,1,FRASCO PLÁSTICO PEAD BLANCO CON VÁLVULA DOSIFICADORA BLANCA. CON ACTIVADOR Y ROSCA EN PP Y TUBO DE PEBD POR 120 ML,Activo,09/03/2018,N/A,No,U,D08AC02,CLORHEXIDINA,TOPICA (EXTERNA),B,CLORHEXIDINA GLUCONATO,g,4,100 ML,SOLUCION TOPICA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
16664,CANDESARTAN CILEXETILO 32 MG,TECNOQUIMICAS S.A.,INVIMA 2015M-0016535,11/12/2015,01/04/2021,Vigente,20080458,4,20,CAJA PLEGADIZA POR 20 TABLETAS EN BLISTER PVC/PVDC ALUMINIO POR 5 TABLETAS,Activo,03/24/2015,N/A,No,U,C09CA06,CANDESARTAN,ORAL,A,CANDESARTAN CILEXETILO,mg,32,TABLETA,TABLETA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
16665,QLAIRA,BAYER A.G.,INVIMA 2010M-0010708,04/30/2010,05/12/2020,Vigente,20005723,1,28,CAJA POR 28 COMPRIMIDOS EN BLISTER PVC/ALUMINIO,Activo,12/07/2009,N/A,No,U,G03AB08,DIENOGEST Y ESTRADIOL,ORAL,A,COMPRIMIDO 2: VALERATO DE ESTRADIOL,mg,2,CADA COMPRIMIDO RECUBIERTO,TABLETA,BAYER WEIMAR GMBH UND CO KG,FABRICANTE,IMPORTAR Y VENDER
