id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
1,SEROLUX® 100 MG,SANDOZ GMBH,INVIMA 2015M-0015904,06/01/2015,06/22/2020,Vigente,20089832,9,14,MUESTRA MEDICA: CAJA POR 14 TABLETAS EN BLISTER PVC/PVDC/ALU,Activo,02/27/2015,N/A,Si,U,N06AB06,SERTRALINA,ORAL,A,SERTRALINA CLORHIDRATO 111.98 MG EQUIVALENTE A SERTRALINA BASE,mg,100,TABLETA RECUBIERTA,TABLETA RECUBIERTA,NOVARTIS DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
2,BECLOMETASONA 50 MCG/DOSIS SOLUCIÓN PARA INHALACION,TECNOQUIMICAS S.A.,INVIMA 2018M-0001082-R2,02/18/2002,01/29/2024,Vigente,19924207,1,200,CAJA POR UN ENVASE INHALADOR CON CUERPO DE ALUMINIO. ADAPTADOR Y TAPA EN POLIPROPILENO POR 200 DOSIS,Activo,11/10/2006,N/A,No,U,R01AD01,BECLOMETASONA,INHALACION,F,BECLOMETASONA DIPROPIONATO,mcg,50,DOSIS,SOLUCION PARA INHALACION,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
3,EPTAVIS ® NI?OS 1G,CENTRO SPERIMENTALE DEL LATTE S.P.A.,INVIMA 2015M-0016364,10/08/2015,10/26/2020,Vigente,20096303,4,2,MUESTRA MEDICA: CAJA PLEGADIZA CON 2 SOBRES DE PET/AL/PE POR 1 G CADA UNO.,Activo,09/24/2015,N/A,Si,U,G01AX14,LACTOBACILOS FERMENTO,ORAL,A,STREPTOCOCCUS SALIVARIUS SUBSP. THERMOPHILUS MINIMO,billion organisms,48,SOBRE DE 1G DE GRANULADO,GRANULOS,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
4,LEVEMIR 100U/ML,NOVO NORDISK A/S,INVIMA 2018M-0006790-R1,02/07/2007,07/10/2023,Vigente,19972118,2,15,5 CARTUCHO DE 3 ML HECHO DE VIDRIO (TIPO I) SISTEMA DE CERRADO DE GOMA BROMOBUTIL - EMBOLO Y UN TAPON CON BROMOBUTIL/POLIISOPREN,Inactivo,01/30/2007,03/26/2014,No,ml,A10AE05,INSULIN DETEMIR,SUBCUTANEA,C,INSULINA DETEMIR 100 U. 2400 NMOL,mg,14.2,ML,SOLUCION INYECTABLE,NOVO NORDISK A/S (FABRICANTE DEL PRINCIPIO ACTIVO),FABRICANTE,IMPORTAR Y VENDER
5,LADEVINA® 10 MG CAPSULA DURA,LABORATORIO LKM S.A.,INVIMA 2019M-0018907,04/02/2019,04/22/2024,Vigente,20115048,5,168,1L1006491000104 CAJA POR 168 CÁPSULAS EN BLÍSTER PVC LAMINADO CON UNA CAPA DE EMPUJE DE PCTFE/AL,Activo,09/28/2017,N/A,No,U,L04AX04,LENALIDOMIDA,ORAL,A,LENALIDOMIDA,mg,10,CAPSULA DURA,CAPSULA DURA,BIOTOSCANA FARMA S.A.,IMPORTADOR,IMPORTAR Y VENDER
6,FOLTRIP ®,PROCAPS S.A.,INVIMA 2019M-0019462,11/25/2019,12/10/2024,Vigente,20161817,12,2,MUESTRA MEDICA: CAJA PLEGADIZA CON 1 BLISTER EN ALUMINIO /PVDC POR 2 CAPSULAS BLANDAS,Activo,11/14/2019,N/A,Si,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,IBUPROFENO,mg,400,CAPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
7,NEOLYTE ® SALES DE REHIDRACION ORAL,BCN MEDICAL S.A.,INVIMA 2019M-0013983-R1,01/31/2013,12/18/2024,Vigente,20045823,42,50,CAJA POR 50 SACHETS EN (PET/ALU/PE) CON 20.681G C/U. SABOR FRESA,Activo,02/19/2016,N/A,No,U,A07CA99,ELECTROLITOS CON CARBOHIDRATOS REHIDRATACION ORAL,ORAL,E,GLUCOSA ANHIDRA,g,13.5,SACHET,POLVO PARA RECONSTITUIR A SOLUCION ORAL,REYOUNG PHARMACEUTICAL CO. LTD. CHINA,FABRICANTE,IMPORTAR Y VENDER
8,OLMEDIPIN® AM 40/5 TABLETA RECUBIERTA,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2017M-0013118-R1,04/24/2012,11/09/2022,Vigente,20038214,22,40,CAJA POR 40 TABLETAS RECUBIERTAS EN 4 BLÍSTER ALUMINIO/ALUMINIO MAS PAPEL ALUMINIO POR 10 TABLETAS RECUBIERTAS C/U.,Activo,02/13/2017,05/07/2017,No,U,C09CA08,OLMESARTAN MEDOXIMIL,ORAL,A,AMLODIPINO BESILATO 6. 945 MG. EQUIVALENTE A AMLODIPINO BASE,mg,5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
9,LORDINEX ® 10 MG TABLETAS,NOVAMED S.A.,INVIMA 2015 M-011734-R3,04/19/2000,12/17/2020,Vigente,37116,11,4,PRESENTACION COMERCIAL: MARCA. CAJA PLEGADIZA CON UN BLISTER PVC TRANSPARENTE INCOLORO/ FOIL ALUMINIO POR 4 TABLETAS DE 10 MG,Activo,09/16/2015,N/A,No,U,R06AX13,LORATADINA,ORAL,A,LORATADINA,mg,10,CADA TABLETA CONTIENE.,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
10,ONEGRIP®,NEW HEALTH PHARMACEUTICALS S.A.S,INVIMA 2018M-0018104,04/05/2018,04/26/2023,Vigente,20113482,5,500,IUM 2C1005211000104: CAFEINA 30.0 MG/CETIRIZINA 5.0 MG/FENILEFRINA 10.0 MG/PARACETAMOL 500.0 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL / CAJA PLEGADIZA POR 500 CÁPSULAS EN BLISTER ALUMINIO/PVC/PVDC TRANSPARENTE EN UN FOIL DE ALUMINIO,Activo,04/02/2018,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA ANHIDRA,mg,30,CADA CAPSULA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
11,ERITROMAX 40.000 U.I.,BLAU FARMACEUTICA S.A.,INVIMA 2019M-0013820-R1,11/14/2012,01/31/2025,Vigente,20042231,3,6,CAJA POR 6 JERINGA EN VIDRIO PRELLENADA POR 1 ML,Activo,05/29/2012,N/A,No,U,B03XA01,ERITROPOYETINA,INTRAVENOSA,A,ERITROPOYETINA HUMANA RECOMBINANTE (EPOETIN ALFA),UI,"40,000",JERINGA PRELLENADA,SOLUCION INYECTABLE,BLAU FARMACÉUTICA S.A.,FABRICANTE,IMPORTAR Y VENDER
12,DURAFEX® E FORTE CAPSULA,TECNOQUIMICAS S.A.,INVIMA 2019M-0018763,02/08/2019,02/28/2024,Vigente,20104221,1,2,MUESTRA MÉDICA : CAJA PLEGADIZA POR 2 CÁPSULAS BLANDAS EN BLÍSTER ALUMINIO-PVC/ACLAR TRANSPARENTE POR 2 CÁPSULAS,Activo,02/19/2018,N/A,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,325,CAPSULA BLANDA,CAPSULA BLANDA,TECNOQUIMICAS S.A.,FABRICANTE,FABRICAR Y VENDER
13,NOPTIC 3 MG TABLETAS RECUBIERTAS,LABORATORIOS ANDROMACO S.A,INVIMA 2016M-0011427-R1,10/05/2010,09/21/2021,Vigente,20019273,6,120,CAJA X 120 COMPRIMIDOS EN BLISTER DE PVDC TRANSPARENTE / ALUMINIO X 15 COMPRIMIDOS,Inactivo,08/05/2010,09/01/2016,No,U,N05CF04,ESZOPICLONA,ORAL,A,ESZOPICLONA,mg,3,TABLETA RECUBIERTA.,TABLETA RECUBIERTA,GRÜNENTHAL COLOMBIANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
14,DAFULL® 5 MG. TABLETAS RECUBIERTAS,LABORATORIOS BUSSIÉ S.A.,INVIMA 2018M-0018385,09/10/2018,10/05/2023,Vigente,20121607,1,1,1T1006511002100: CAJA POR 1 TABLETAS TRECUBIERTAS EN BLISTER PVC/PVDC/INCOLORO/ ALUMINIO,Activo,10/12/2017,N/A,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO,mg,5,TABLETAS RECUBIERTAS,TABLETA,LABORATORIOS BUSSIÉ S.A.,FABRICANTE,FABRICAR Y VENDER
15,LEGABIN ® 75,LABORATORIOS LEGRAND S.A.,INVIMA 2019M-0012857-R1,02/08/2012,01/29/2025,Vigente,20039017,23,140,USO INSTITUCIONAL: CAJA POR 140 CAPSULAS EN BLISTER DE OPA/AL/PVC-ALUMINIO,Inactivo,12/11/2014,12/12/2019,No,U,N03AX16,PREGABALINA,ORAL,A,PREGABALINA,mg,75,CAPSULA DURA,CAPSULA DURA,LABORATORIOS LEGRAND S.A.,FABRICANTE,FABRICAR Y VENDER
16,ENERSAL ®,ROCIPHAR S.A.S,INVIMA 2019M-0013087-R1,04/19/2012,01/27/2025,Vigente,20040672,18,1,SACHETS DE 4.18 G PARA RECONSTITUIR EN 200 ML SABOR CEREZA,Inactivo,01/17/2012,12/05/2019,No,U,A07CA99,ELECTROLITOS CON CARBOHIDRATOS REHIDRATACION ORAL,ORAL,E,CLORURO DE SODIO,g,2.6,SOBRE DE 21 G DE POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,POLVO PARA RECONSTITUIR A SOLUCION ORAL,COASPHARMA S.A.S. PLANTA PALOQUEMAO,FABRICANTE,FABRICAR Y VENDER
17,SEVEDOL ®,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,16,60,CAJA POR 60 TABLETAS EN BLISTER ALU/ALU MAS PAPEL ALUMINIO POR 6 TABLETAS,Activo,04/13/2015,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65,TABLETA,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
18,OLIMEL N9 E,LABORATORIOS BAXTER S.A.,INVIMA 2018M-0012867-R1,02/09/2012,01/04/2024,Vigente,20033258,3,1,BOLSA DE PLÁSTICO MULTIESTRATIFICADA DE COPOLIMERO POLI-EP / EVA / PCCE CON TRES COMPARTIMENTOS POR 2000 ML,Activo,02/07/2012,N/A,No,U,B05BA10,COMBINACIONES,INTRAVENOSA,C,ALANINA,g,0.824,CADA 100 ML,EMULSION INYECTABLE,BAXTER S.A.,FABRICANTE,IMPORTAR Y VENDER
