3300,AMPICILINA Y SULBACTAM 1.5 G.,FARMALOGICA S.A.,INVIMA 2018M-0001779-R2,08/27/2002,04/16/2023,Vigente,19931216,5,10,CAJA PLEGADIZA POR 10 FRASCOS VIAL DE VIDRIO TIPO I.,Inactivo,04/04/2018,04/07/2020,No,U,J01CR01,AMPICILINA E INHIBIDOR ENZIMATICO,INTRAMUSCULAR,A,AMPICILINA SODICA EQUIVALENTE A AMPICILINA BASE,g,1,FRASCO VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,FARMALOGICA S.A.,FABRICANTE,FABRICAR Y VENDER
3301,RECEFAR® 150 MG TABLETAS RECUBIERTAS,FARMACOOP,INVIMA 2017M-0005291-R1,02/02/2006,02/22/2022,Vigente,19954170,2,30,CAJA POR 30 TABLETAS EN BLISTER ALU/ALU-FOIL BLISTER,Activo,11/10/2006,N/A,No,U,A02BA02,RANITIDINA,ORAL,A,RANITIDINA CLORHIDRATO EQUIVALENTE A DE RANITIDINA BASE,mg,150,TABLETA RECUBIERTA,TABLETA RECUBIERTA,COASPHARMA S.A.S,FABRICANTE,FABRICAR Y VENDER
3302,IZINOVA®,IPSEN PHARMA S.A.,INVIMA 2016M-0017246,08/16/2016,09/02/2021,Vigente,20100166,2,2,-MUESTRA MEDICA: CAJA PLEGADIZA CON 2 FRASCOS PET COLOR AMBAR CON TAPA DE POLIPROPILENO TIPO HDPE. MAS VASO DOSIFICADOR DE POLIPROPILENO (PP) EN CAJA DE CARTÓN.,Activo,06/28/2018,N/A,Si,U,A06AD13,SODIO SULFATO,ORAL,A,SULFATO DE MAGNESIO HEPTAHIDRATADO,g,3.276,FRASCO POR 176ML,SOLUCION ORAL,BEAUFOUR IPSEN INDUSTRIE,FABRICANTE,IMPORTAR Y VENDER
3303,DOXICICLINA 100 MG,MEMPHIS PRODUCTS S.A.,INVIMA 2017M-0006011-R1,07/05/2006,10/17/2022,Vigente,19964165,4,50,CAJA POR 50 CÁPSULAS EN BLISTER PVC TRANSPARENTE/ALUMINIO POR 10 CÁPSULAS CADA UNO.,Activo,01/24/2007,N/A,No,U,J01AA02,DOXICICLINA,ORAL,A,DOXICICLINA HICLATO  115.0 MG EQUIVALENTE A DOXICICLINA BASE,mg,100,CÁPSULA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
3304,IRUXOL 1.2,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2015M-003241-R2,10/22/1995,09/21/2020,Vigente,54895,1,40,CAJA CON TUBO POR 40 G,Activo,11/10/2006,N/A,No,g,D03BA02,CLOSTRIDIOPEPTIDASA,TOPICA (EXTERNA),D,COLAGENASA,IU,120,100 G,UNGUENTO TOPICO,ABBOTT LABORATORIES DE COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
3305,DOLICOX 500 MG TABLETAS,PATMAR S.A,INVIMA 2018M-0001163-R2,03/12/2002,01/03/2024,Vigente,19927360,3,250,CAJA POR 250 TABLETAS EN BLISTER PVC/ALUMINIO,Inactivo,11/10/2006,01/31/2012,No,U,N02BE01,PARACETAMOL,ORAL,A,550 MG ACETAMINOFEN CD 90% EQUIVALENTE A ACETAMINOFEN,mg,500,TABLETA,TABLETA,GRANULES INDIA LIMITED,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
3306,MEJORAL TABLETA RECUBIERTA,TECNOQUIMICAS S.A.,INVIMA 2019M-0018975,04/26/2019,05/31/2024,Vigente,20145940,7,8,1P1008851003106 CAJA PLEGADIZA POR 8 TABLETAS EN BLÍSTER PVC TRANSPARENTE - ALUMINIO,Activo,03/31/2020,N/A,No,U,N02BE01,PARACETAMOL,ORAL,A,ACETAMINOFEN COMPRESSO EQUIVALENTE A ACETAMINOFEN,mg,500,TABLETA RECUBIERTA,TABLETA RECUBIERTA,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
3307,ENDIAL,SCANDINAVIA PHARMA LTDA.,INVIMA 2015M-0004393-R1,05/03/2005,08/11/2020,Vigente,19930835,8,20,CAJA X 20 TABLETAS EN BLISTER PVC/ ALUMINIO,Activo,07/13/2015,N/A,No,U,A03FA08,CINITAPRIDA,ORAL,A,CINITAPRIDA TARTRATO ACIDO 1.37 MG EQUIVALENTE A CINITAPRIDA,mg,1,POR TABLETA,TABLETA,MEGA LABS S.A.,FABRICANTE,IMPORTAR Y VENDER
3308,FINCOSIX 1% GEL,LABORATORIO BKMPHARMA S.A.S,INVIMA 2018M-0017998,02/02/2018,02/22/2023,Vigente,20118388,1,1,1T1001661000100 TUBO LAMINADO POR 15 G EN CAJA PLEGADIZA,Activo,01/10/2018,N/A,No,U,D01AE15,TERBINAFINA,TOPICA (EXTERNA),B,TERBINAFINA CLORHIDRATO 1.125 MG. EQUIVALENTE A TERBINAFINA BASE,mg,1,100 G. DE GEL,GEL TOPICO,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
3309,CEBION® 500MG TABLETAS MASTICABLES,PROCTER & GAMBLE COLOMBIA LTDA,INVIMA 2016M- 0007923-R3,08/11/1995,02/17/2021,Vigente,4098,10,4,MUESTRA MEDICA: FOIL POR 4 TABLETAS,Activo,11/10/2006,N/A,Si,U,A11GA01,ACIDO ASCORBICO (VIT C),ORAL,A,ACIDO ASCORBICO + ASCORBATO DE SODIO EQUIVALENTES A VITAMINA C,mg,500,TABLETA MASTICABLE,TABLETA MASTICABLE,ALTEA FARMACEUTICA S.A.,FABRICANTE,FABRICAR Y VENDER
